round,client,trust
6,14,0.13757701118389967
6,15,0.015634676756817033
6,16,0.10474082808349236
6,17,0.015634676756818445
6,18,0.004937266344259091
6,19,0.09704818158960127
7,0,0.015970064617234075
7,1,0.015970064617233434
7,2,0.01597006461723295
7,3,0.0050431783001796664
7,4,0.11211823013211893
7,5,0.0159700646172335
7,6,0.10927954117190558
7,7,0.015970064617231577
7,8,0.1747893640506961
7,9,0.0050431783001796664
7,10,0.015970064617232053
7,11,0.12607945750448035
7,12,0.015970064617231453
7,13,0.0050431783001796664
7,14,0.13429530105758192
7,15,0.015970064617231286
7,16,0.10334296933516614
7,17,0.015970064617234
7,18,0.0050431783001796664
7,19,0.07619184199198588
8,0,0.016291298225012237
8,1,0.01629129822501169
8,2,0.04383534772346006
8,3,0.005144620492109626
8,4,0.11422176474714742
8,5,0.016291298225011987
8,6,0.11339689772655838
8,7,0.01629129822501073
8,8,0.1438735480086029
8,9,0.016291298224976783
8,10,0.016291298225011717
8,11,0.1286155123027302
8,12,0.016291298225010138
8,13,0.005144620492109626
8,14,0.13029384676760106
8,15,0.01629129822500937
8,16,0.10724536969625013
8,17,0.016291298225012175
8,18,0.005144620492109626
8,19,0.05646216752599702
9,0,0.018739720320203504
9,1,0.018739720320202585
9,2,0.01873972032020198
9,3,0.005917806416906944
9,4,0.13680776166077283
9,5,0.018739720320203403
9,6,0.12562990679377536
9,7,0.01873972032020268
9,8,0.14722249780106733
9,9,0.018739720320200704
9,10,0.018739720320203417
9,11,0.14042415804049277
9,12,0.09005350697949814
9,13,0.005917806416906944
9,14,0.11718345930989944
9,15,0.018739720320199632
9,16,0.03752808696145339
9,17,0.018739720320203268
9,18,0.005917806416906944
9,19,0.018739720320202803
10,0,0.01867816101385975
10,1,0.018678161013858084
10,2,0.11445197626679564
10,3,0.005898366635956285
10,4,0.12488204247469918
10,5,0.01867816101385935
10,6,0.07255276401279702
10,7,0.01867816101385927
10,8,0.12398019790957811
10,9,0.01867816101385696
10,10,0.01867816101385882
10,11,0.12488823799649737
10,12,0.04789910043968959
10,13,0.005898366635956285
10,14,0.0911803487660738
10,15,0.018678161013854454
10,16,0.1143667831009804
10,17,0.018678161013859666
10,18,0.005898366635956285
10,19,0.01867816101385871
11,0,0.01650308277919576
11,1,0.016503082779194617
11,2,0.08359716502184432
11,3,0.005211499825009696
11,4,0.11202736504602863
11,5,0.01650308277919537
11,6,0.08501498799560901
11,7,0.01650308277919453
11,8,0.13524488312645633
